OTU	F3D0_S188	F3D141_S207	F3D142_S208	F3D143_S209	F3D144_S210	F3D145_S211	F3D146_S212	F3D147_S213	F3D148_S214	F3D149_S215	F3D150_S216	F3D1_S189	F3D2_S190	F3D3_S191	F3D5_S193	F3D6_S194	F3D7_S195	F3D8_S196	F3D9_S197
4329220 Kosmotoga mrcj	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
4337223 Bacteroides ovatus	0	0	0	1	1	1	0	0	1	2	0	0	0	0	0	2	0	0	0
4341595 Listeria monocytogenes	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4345272 Capnocytophaga ochracea	1	3	0	4	1	1	2	2	4	9	3	1	14	1	2	2	0	4	4
4348519 Akkermansia muciniphila	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4348778 Anoxybacillus kestanbolensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
4356342 [Ruminococcus] gnavus	0	0	0	1	0	0	1	0	1	6	1	0	1	0	0	0	0	0	0
4357324 Asticcacaulis biprosthecium	0	0	0	0	0	1	0	4	0	3	0	1	8	2	1	2	0	4	4
435754 Propionibacterium acnes	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
4364241 [Ruminococcus] gnavus	1	0	1	1	2	1	4	1	7	5	10	2	7	0	0	4	0	1	0
4366577 Brevibacillus reuszeri	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0
4367060 Enterococcus casseliflavus	160	200	191	111	125	354	189	515	484	446	176	131	349	428	140	481	496	544	599
4379248 Lactobacillus acidipiscis	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	1	0	1	1
4381677 Desulfosporosinus meridiei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
4390336 Bacteroides fragilis	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
439423 Stenotrophomonas geniculata	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4401405 Xanthomonas campestris	0	1	0	2	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0
4407193 Faecalibacterium prausnitzii	1	3	4	2	0	3	2	6	15	9	1	0	0	0	0	4	0	1	1
4419615 Lysinibacillus boronitolerans	1	0	4	0	0	1	0	0	1	0	0	0	0	2	0	1	0	8	1
4422548 Serratia plymuthica	1	0	0	0	1	0	1	0	0	1	0	1	2	1	0	0	0	1	0
4423978 Weissella oryzae	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
4424252 Parabacteroides distasonis	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4432437 Catenuloplanes indicus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
4432853 Faecalibacterium prausnitzii	0	27	18	15	11	11	6	42	72	32	12	0	0	0	0	0	0	0	0
4436187 Stenotrophomonas rhizophila	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
4440404 Neisseria cinerea	0	0	1	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0
4454062 Escherichia coli	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4455063 Haererehalobacter salaria	0	0	0	0	0	1	0	1	1	3	1	0	0	0	0	0	0	0	0
4457603 Dorea formicigenerans	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4458958 Anoxybacillus kestanbolensis	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4462474 Paracoccus zeaxanthinifaciens	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4462747 Rothia aeria	1	0	0	0	0	0	0	1	0	0	0	1	2	1	0	1	1	1	2
460937 Macrococcus caseolyticus	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
463449 Corynebacterium aurimucosum	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1
512129 Clostridium bowmanii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
519290 Bifidobacterium pseudolongum	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
549754 Actinomadura vinacea	9	97	28	46	178	217	112	307	260	311	45	64	33	107	43	29	10	12	19
582190 Paracoccus aminovorans	5	36	5	8	47	55	32	86	73	90	8	21	11	22	12	10	0	3	3
593810 Lactobacillus reuteri	9	6	0	2	6	4	1	14	20	15	2	9	1	14	0	3	4	13	3
594044 Bifidobacterium longum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
729112 Sphingomonas wittichii	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0
756221 Lactobacillus vaginalis	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
758055 Bifidobacterium longum	19	14	21	7	18	5	5	19	57	24	19	0	4	15	0	0	0	0	0
820749 Haemophilus parasuis	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
824875 Microbacterium chocolatum	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	1
855573 Staphylococcus aureus	2	1	0	0	0	1	0	7	3	2	3	4	4	1	1	2	0	1	0
867346 Haemophilus parainfluenzae	16	0	0	0	0	0	0	0	6	3	2	0	1	0	0	0	0	0	0
888219 Sphingomonas wittichii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
944672 Enterobacter ludwigii	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
953256 Nocardioides plantarum	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
961722 Propionibacterium acnes	5	0	0	0	0	2	1	5	1	1	1	2	4	1	3	4	2	3	2
97245 Actinomadura vinacea	3	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0
975413 Propionibacterium acnes	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
981108 Veillonella dispar	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
990071 Staphylococcus aureus	2	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0
